statNm,addr,output,statId,chgerId,lat,lng,method,year
영하운수(운수사 전용),인천광역시 서구 길주로75번길 3,100,ST282611,02,37.5069464,126.6703042,동시,2021
인천 검단교통(금곡동)(운수사 전용),인천광역시 서구 봉수대로 1497,100,ST282613,01,37.6067474,126.6462549,동시,2021
인천 검단교통(금곡동)(운수사 전용),인천광역시 서구 봉수대로 1497,100,ST282613,02,37.6067474,126.6462549,동시,2021
신광기업(운수사 전용),인천광역시 서구 가정로78번길 19,100,ST282614,01,37.491638,126.6735432,동시,2022
신광기업(운수사 전용),인천광역시 서구 가정로78번길 19,100,ST282614,02,37.491638,126.6735432,동시,2022
신광기업(운수사 전용),인천광역시 서구 가정로78번길 19,100,ST282614,03,37.491638,126.6735432,동시,2022
신광기업(운수사 전용),인천광역시 서구 가정로78번길 19,100,ST282614,04,37.491638,126.6735432,동시,2022
대일실업(운수사 전용),인천광역시 서구 백범로 845-1,100,ST282615,01,37.4839172,126.6639348,동시,2022
대일실업(운수사 전용),인천광역시 서구 백범로 845-1,100,ST282615,02,37.4839172,126.6639348,동시,2022
대일실업(운수사 전용),인천광역시 서구 백범로 845-1,200,ST282615,03,37.4839172,126.6639348,동시,2023
대일실업(운수사 전용),인천광역시 서구 백범로 845-1,200,ST282615,04,37.4839172,126.6639348,동시,2023
대일실업(운수사 전용),인천광역시 서구 백범로 845-1,200,ST282615,05,37.4839172,126.6639348,동시,2023
대일실업(운수사 전용),인천광역시 서구 백범로 845-1,200,ST282615,06,37.4839172,126.6639348,동시,2023
대창운수(운수사 전용),인천광역시 서구 원적로57번길 24,100,ST282616,01,37.4923573,126.6777227,동시,2022
대창운수(운수사 전용),인천광역시 서구 원적로57번길 24,100,ST282616,02,37.4923573,126.6777227,동시,2022
대창운수(운수사 전용),인천광역시 서구 원적로57번길 24,100,ST282616,03,37.4923573,126.6777227,동시,2022
대창운수(운수사 전용),인천광역시 서구 원적로57번길 24,100,ST282616,04,37.4923573,126.6777227,동시,2022
